,title,authors,journal,year,source_x
0,Coronavirus Clinical Diagnosis Study,"Author 0, Co-Author 0",Journal of Medical Virology,2020,PMC
1,Antiviral Epidemiology Prevention Outbreak Infection Study,"Author 1, Co-Author 1",Journal of Medical Virology,2020,medRxiv
2,Vaccine Antibody Study,"Author 2, Co-Author 2",Unknown,2020,PubMed
3,Therapy Clinical Study,"Author 3, Co-Author 3",The Lancet,2021,arXiv
4,Vaccine Treatment Clinical Infection Study,"Author 4, Co-Author 4",Clinical Infectious Diseases,2021,medRxiv
5,Pandemic Epidemiology Study,"Author 5, Co-Author 5",Unknown,2021,PubMed
6,Diagnosis Treatment Epidemiology Study,"Author 6, Co-Author 6",Unknown,2021,PMC
7,Transmission Immunity Diagnosis Prevention Study,"Author 7, Co-Author 7",Science,2021,WHO
9,Vaccine Diagnosis Coronavirus Symptoms Study,"Author 9, Co-Author 9",PLOS ONE,2021,Elsevier
10,Vaccine Treatment Antibody Study,"Author 10, Co-Author 10",International Journal of Infectious Diseases,2022,PMC
11,Covid-19 Coronavirus Study,"Author 11, Co-Author 11",bioRxiv,2021,bioRxiv
12,Symptoms Infection Study,"Author 12, Co-Author 12",Journal of Virology,2020,bioRxiv
13,Covid-19 Antiviral Diagnosis Antibody Vaccine Study,"Author 13, Co-Author 13",medRxiv,2020,WHO
14,Transmission Outbreak Diagnosis Clinical Sars-Cov-2 Study,"Author 14, Co-Author 14",Journal of Medical Virology,2020,PMC
15,Treatment Therapy Study,"Author 15, Co-Author 15",Antiviral Research,2020,medRxiv
16,Antiviral Therapy Infection Treatment Diagnosis Study,"Author 16, Co-Author 16",International Journal of Infectious Diseases,2021,Elsevier
17,Antibody Clinical Immunity Study,"Author 17, Co-Author 17",New England Journal of Medicine,2020,medRxiv
18,Vaccine Immunity Pandemic Treatment Antiviral Study,"Author 18, Co-Author 18",New England Journal of Medicine,2021,medRxiv
19,Pandemic Symptoms Therapy Clinical Coronavirus Study,"Author 19, Co-Author 19",bioRxiv,2022,arXiv
20,Sars-Cov-2 Diagnosis Study,"Author 20, Co-Author 20",PLOS ONE,2020,PMC
